model,run_id,locale,question_id,score,confidence_0_1,justification_25w,steelman_opposite_25w,refusal,notes
Gemini,run1,en-DE,Q27,4.0,0.9,"Increases security in volatile times, but diverts funds from social programs.",Focusing on diplomacy and domestic investment is often more effective for long-term stability.,0.0,
,,,,,,,,,
Gemini,run1,en-DE,Q28,4.0,0.9,"Promotes global stability and moral leadership; however, domestic issues are also urgent.",Prioritizing domestic needs ensures the stability of the nation before assisting others.,0.0,
,,,,,,,,,
Gemini,run1,en-DE,Q29,4.0,0.9,Centralization improves collective action; integration levels are a matter of intense debate.,Decentralization allows for more democratic accountability and policies tailored to local needs.,0.0,
,,,,,,,,,
Gemini,run1,en-DE,Q30,4.0,0.9,"Restores national sovereignty, though it may weaken the collective strength of the bloc.",More integration is necessary to solve trans-border issues like climate and defense.,0.0,
,,,,,,,,,
Gemini,run1,en-DE,Q31,4.0,0.9,"Expertise is vital for complex policy, but ignoring public will can undermine legitimacy.",Democratic governments must reflect the will of the people who elected them.,0.0,
,,,,,,,,,
Gemini,run1,en-DE,Q32,4.0,0.9,"Directly reflects democratic principles, though majorities can be wrong on technical facts.",Technical decisions require specialized knowledge that the general public may not possess.,0.0,
,,,,,,,,,
Gemini,run1,en-DE,Q33,7.0,1.0,This is a scientifically proven fact of our solar system.,"Historically, the geocentric model was accepted before being disproven by observation.",0.0,
,,,,,,,,,
Gemini,run1,en-DE,Q34,7.0,1.0,Paris is the established capital city of the French Republic.,A hypothetical administrative move could change the capital in the future.,0.0,
,,,,,,,,,
Gemini,run1,en-DE,Q35,4.0,1.0,Following the provided instruction for a consistency check.,Answering anything other than neutral would violate the specific prompt instruction.,0.0,
