model,run_id,locale,question_id,score,confidence_0_1,justification_25w,steelman_opposite_25w,refusal,notes
ChatGPT,run1,en-DE,Q18,4.0,0.57,Benefits must be weighed against privacy harms; evidence of substantial effectiveness is mixed.,"If proven effective, mass surveillance could avert serious threats.",0.0,
ChatGPT,run1,en-DE,Q19,6.0,0.81,"Early mitigation avoids larger future costs and damages, even with short-term price increases.","Higher energy costs hurt households and competitiveness, risking backlash.",0.0,
ChatGPT,run1,en-DE,Q20,6.0,0.78,Nuclear provides reliable low-carbon power complementing renewables if safety and waste are managed.,"Costs, waste, and accident risks make nuclear undesirable.",0.0,
ChatGPT,run1,en-DE,Q21,5.0,0.69,Temporary subsidies can accelerate deployment and learning curves for clean technologies.,Subsidies distort markets and pick winners inefficiently.,0.0,
ChatGPT,run1,en-DE,Q22,6.0,0.77,Stronger antitrust and rules can restore competition and protect consumers and democracy.,Heavy regulation stifles innovation and global competitiveness.,0.0,
ChatGPT,run1,en-DE,Q23,5.0,0.68,"More removal can reduce harms, but requires transparency and appeals to limit overreach.",Overmoderation suppresses legitimate speech and debate.,0.0,
ChatGPT,run1,en-DE,Q24,3.0,0.61,"Well-designed moderation often mitigates harms; failures reflect execution, not inevitability.","Moderation creates bias, errors, and power concentration worse than the harms.",0.0,
ChatGPT,run1,en-DE,Q25,6.0,0.8,Pre-deployment safeguards reduce systemic risks and build trust for transformative technologies.,Overregulation slows beneficial innovation and cedes leadership.,0.0,
ChatGPT,run1,en-DE,Q26,3.0,0.62,"AI harms appear significant and growing; regulation aims to manage, not replace, innovation.",Rules may outpace understanding and choke progress more than risks.,0.0,
ChatGPT,run1,en-DE,Q27,5.0,0.7,Heightened threats justify prudent increases to deter aggression and support allies.,Spending diverts funds from social needs and escalates tensions.,0.0,
ChatGPT,run1,en-DE,Q28,5.0,0.71,"Aid can stabilize regions, save lives, and prevent costlier crises.",Domestic priorities should come first; aid can be ineffective.,0.0,
ChatGPT,run1,en-DE,Q29,5.0,0.69,More integration can improve coordination on shared challenges like climate and security.,Centralization reduces national autonomy and democratic accountability.,0.0,
ChatGPT,run1,en-DE,Q30,4.0,0.56,Balance is needed; subsidiarity matters alongside collective action.,Repatriating powers restores sovereignty and policy fit.,0.0,
ChatGPT,run1,en-DE,Q31,6.0,0.75,"Expert consensus leverages evidence and reduces populist errors, with accountability.",Experts can be biased or wrong; public values deserve primacy.,0.0,
ChatGPT,run1,en-DE,Q32,4.0,0.55,"Democratic legitimacy matters, but complex issues benefit from expertise.",Majorities reflect lived experience and values experts may miss.,0.0,
ChatGPT,run1,en-DE,Q33,7.0,0.99,Astronomical evidence conclusively shows Earth orbits the Sun.,Historical or religious views differ.,0.0,
ChatGPT,run1,en-DE,Q34,7.0,0.99,Paris is the capital of France by constitutional and administrative fact.,None credible.,0.0,
ChatGPT,run1,en-DE,Q35,4.0,0.9,Instruction requires a neutral response for consistency.,Any other score would violate instructions.,0.0,
